timestamp,current_position,target_position,error,effort
1775638124770973151,0.1795,0.1800,0.0005,-97.5261
1775638124772753816,0.1795,0.1800,0.0005,-97.5261
1775638124774507912,0.1795,0.1800,0.0005,-97.5261
1775638124776372990,0.1795,0.1800,0.0005,-97.5261
1775638124777837119,0.1795,0.1800,0.0005,-97.5261
1775638124779233503,0.1795,0.1800,0.0005,-97.5261
1775638124780745256,0.1795,0.1800,0.0005,-97.5261
1775638124782574699,0.1795,0.1800,0.0005,-97.5261
1775638124784183051,0.1795,0.1800,0.0005,-97.5261
1775638124786022725,0.1795,0.1800,0.0005,-97.5261
1775638124787756003,0.1795,0.1800,0.0005,-97.5261
1775638124789434280,0.1795,0.1800,0.0005,-97.5261
1775638124791171726,0.1795,0.1800,0.0005,-97.5261
1775638124792731717,0.1795,0.1800,0.0005,-97.5261
1775638124794289666,0.1795,0.1800,0.0005,-97.5261
1775638124796099440,0.1795,0.1800,0.0005,-97.5261
1775638124797801035,0.1795,0.1800,0.0005,-97.5261
1775638124799431501,0.1795,0.1800,0.0005,-97.5261
1775638124801201285,0.1795,0.1800,0.0005,-97.5261
1775638124802906759,0.1795,0.1800,0.0005,-97.5261
1775638124804448598,0.1795,0.1800,0.0005,-97.5261
1775638124806289296,0.1795,0.1800,0.0005,-97.5261
1775638124808078895,0.1795,0.1800,0.0005,-97.5261
1775638124809830393,0.1795,0.1800,0.0005,-97.5261
1775638124811804990,0.1795,0.1800,0.0005,-97.5261
1775638124813156625,0.1795,0.1800,0.0005,-97.5261
1775638124814640088,0.1795,0.1800,0.0005,-97.5261
1775638124816151393,0.1795,0.1800,0.0005,-97.5261
1775638124817623444,0.1795,0.1800,0.0005,-97.5261
1775638124819514505,0.1795,0.1800,0.0005,-97.5261
1775638124821457440,0.1795,0.1800,0.0005,-97.5261
1775638124822955024,0.1795,0.1800,0.0005,-97.5261
1775638124824586933,0.1795,0.1800,0.0005,-97.5261
1775638124826290139,0.1795,0.1800,0.0005,-97.5261
1775638124827858868,0.1795,0.1800,0.0005,-97.5261
1775638124829421345,0.1795,0.1800,0.0005,-97.5261
1775638124831093395,0.1795,0.1800,0.0005,-97.5261
1775638124833038564,0.1795,0.1800,0.0005,-97.5261
1775638124834905987,0.1795,0.1800,0.0005,-97.5261
1775638124837008929,0.1795,0.1800,0.0005,-97.5261
1775638124838596437,0.1795,0.1800,0.0005,-97.5261
1775638124840139063,0.1795,0.1800,0.0005,-97.5261
1775638124841659457,0.1795,0.1800,0.0005,-97.5261
